Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
1100000,83-03-02,CAN,CAN,73,205,2001,57,L,McClement,Jay,C,CAR,65,5,3,2,1,8,-8
575000,89-12-14,CAN,CAN,68,180,,,L,Conacher,Cory,C/LW,T.B,11,1,3,3,0,4,0
2750000,88-08-05,CAN,CAN,74,206,2008,111,R,Weise,Dale,RW,PHI,64,8,,4,3,,1
775000,91-02-22,CAN,CAN,73,216,2009,84,L,Deslauriers,Nicolas,LW,BUF,42,0,2,2,0,2,-6
715000,94-07-18,CAN,CAN,72,200,2012,162,L,Blandisi,Joseph,LW/C,N.J,27,3,6,4,,9,-10
875000,93-05-31,FIN,FIN,75,205,2011,16,R,Armia,Joel,RW,WPG,57,10,9,6,3,19,-8
2200000,89-12-24,CAN,CAN,71,188,2008,127,L,Calvert,Matt,LW,CBJ,65,,5,2,3,15,
1000000,92-12-05,CAN,CAN,74,205,2011,17,L,Beaulieu,Nathan,D,MTL,74,4,24,14,10,28,8
1300000,91-01-14,CAN,CAN,,200,2009,15,L,Holland,Peter,C,ARI/TOR,48,5,7,3,4,12,
1100000,87-07-26,CAN,CAN,,200,,,L,Benn,Jordie,D,DAL/MTL,71,4,13,7,6,,-4
4875000,90-08-16,CAN,CAN,,205,2008,53,R,Hamonic,Travis,D,NYI,49,,11,6,5,14,-21
925000,95-07-28,USA,USA,74,209,2013,118,R,Fasching,Hudson,RW,BUF,10,0,1,1,0,1,-1
3200000,92-02-26,FIN,FIN,70,184,2010,9,L,Granlund,Mikael,C,MIN,81,26,43,31,12,69,
925000,93-04-20,CAN,CAN,74,207,,147,L,Hutton,Ben,D,VAN,71,5,14,6,,19,-22
2600000,84-01-19,AUT,AUT,74,214,2003,5,R,Vanek,Thomas,LW/RW,DET/FLA,68,17,31,21,10,48,-5
2300000,89-02-21,USA,USA,73,219,2007,18,L,Cole,Ian,D,PIT,81,5,21,11,10,26,
900000,80-08-03,CAN,CAN,72,192,2000,95,L,Moore,Dominic,C/LW,BOS,82,11,,7,7,25,2
925000,91-10-29,RUS,RUS,74,195,,,R,Zaitsev,Nikita,D,TOR,82,4,32,13,,36,-22
1250000,85-08-12,CAN,CAN,74,216,2003,132,L,Quincey,Kyle,D,CBJ/N.J,73,6,9,5,4,15,
675000,88-07-11,USA,USA,71,198,2008,169,R,Smith,Ben,RW/C,COL/TOR,40,2,2,1,1,4,-7
635000,93-01-16,CAN,CAN,,205,2012,96,L,Thomson,Ben,LW,N.J,3,0,0,0,,0,-4
632500,92-08-18,USA,USA,,205,,,L,Zalewski,Michael,LW/C,VAN,1,0,0,0,,0,-1
575000,92-03-25,HRV,HRV,74,200,,,R,Rendulic,Borna,RW/C,VAN,1,0,0,,0,0,0
575000,86-02-04,USA,USA,72,190,,,R,Oleksy,Steve,D,PIT,11,0,1,0,1,1,2
792500,94-06-06,FIN,FIN,73,186,2015,189,L,Nutivaara,Markus,D,CBJ,66,2,5,,4,7,7
4300000,88-08-26,CAN,CAN,74,185,2007,61,R,Simmonds,Wayne,RW/LW,PHI,82,31,,13,10,54,-18
2000000,80-11-25,USA,USA,70,185,2000,159,L,Liles,John-Michael,D,BOS,36,0,5,3,2,5,1
832500,94-01-16,CAN,CAN,,208,2012,8,L,Pouliot,Derrick,D,PIT,11,0,0,0,0,0,-4
4000000,81-06-16,CAN,CAN,73,200,2001,151,R,Bieksa,Kevin,D,ANA,81,3,11,2,9,14,0
8750000,85-07-24,CAN,CAN,73,195,2003,45,R,Bergeron,Patrice,C,BOS,79,21,,21,11,,12
5500000,88-06-09,CAN,CAN,73,200,2008,186,R,Demers,Jason,D,FLA,81,9,19,9,10,28,-14
